pair,correlation,eg_statistic,eg_pvalue,cointegrated,hedge_ratio,adf_statistic,adf_pvalue,spread_stationary,half_life,hurst,mean_reverting,spread_mean,spread_std,score
AEP/ETR,0.9823910526981056,-3.9020330509638823,0.00985551239729135,True,1.5329877584812153,-3.9100188797984137,0.0019623384836412756,True,208.32451835012617,0.2971293093425034,True,5.872245822813869,2.766366962124908,70.0
ETR/AEP,0.9823910526981054,-3.8544546445515135,0.011451007053849691,True,0.6295498284848927,-3.8609318967970463,0.002341939793766855,True,101.00621672064464,0.3012022932722106,True,-2.4463697338684427,1.772782683381386,60.0
ETR/AEE,0.966174595169297,-3.4793046407445347,0.03427461510904424,True,0.5489931872612643,-3.480914390047378,0.008490997133145634,True,344.64332475592295,0.4304675939632686,True,5.588118520080363,2.4469589358722863,50.0
ATO/AEP,0.9693062290877456,-3.2230010657030688,0.06616475551435118,False,1.2115033247006906,-3.228927393100746,0.01837013242469364,True,71.12267745180642,0.33744740868385215,True,2.6903449866309592,4.549815497034548,50.0
AEE/ETR,0.9661745951692969,-3.4087753183296745,0.041385108703405164,True,1.700373283332398,-3.4114576705261523,0.010574426763625383,True,167.14603099563536,0.4305645147009095,True,-5.8391490211826085,4.306409649737938,50.0
ETR/ATO,0.9326937175877856,-3.0464667511481864,0.09956908549262017,False,0.4782127559296349,-3.0481940042164335,0.03063227661043824,True,87.60486291103015,0.38932218960486775,True,-0.6817447217284004,3.4221848057807964,50.0
CTRA/DVN,0.8325600580620661,-3.7742344220321624,0.014666099913424458,True,0.23579607549110274,-3.7731820495938164,0.0031939290933009215,True,inf,0.46125189134580846,True,11.026607041175021,2.0576174097357436,50.0
AEP/ATO,0.9693062290877454,-3.1067660612543637,0.08695192852282352,False,0.7755278475859116,-3.109659777337557,0.025846531806276603,True,62.176822231652935,0.33621274263689893,True,1.5879445897824225,3.6402413534978098,50.0
AEE/AEP,0.9815716256153821,-3.207026308982749,0.06876061098014047,False,1.1070222912313998,-3.2069464034323483,0.019586098659458484,True,inf,0.3880990314605821,True,-12.220864245146954,3.1910322917340515,40.0
ATO/ETR,0.9326937175877856,-3.0647574491775362,0.09560287932658873,False,1.8191015610543946,-3.082664932047471,0.027862943944889192,True,404.9566467791709,0.3869226033795592,True,11.170097469892493,6.67454021081315,40.0
AEP/AEE,0.9815716256153821,-3.3034888980306145,0.054257660518335235,False,0.8703373580142529,-3.3026667076926133,0.014759692582981066,True,inf,0.38824774118026667,True,12.856093933130404,2.8294161543074474,40.0
BKR/HAL,0.8744673709810131,-3.0878084787390963,0.0907777923591313,False,0.5460192165849889,-3.0870529057726714,0.027526286834112876,True,inf,0.4321502860538319,True,8.52011737088719,2.9746644411937417,40.0
EIX/OKE,0.6296434064815916,-3.593126014427592,0.024985488160152756,True,0.3022706822773114,-3.5922114147673234,0.005911686486862282,True,inf,0.3820589551018755,True,37.26727262876681,4.458663162360727,40.0
CTRA/EOG,0.716387485387522,-3.324459208201567,0.05146081653698991,False,0.13504461085447106,-3.3236171024843797,0.013855234792273179,True,inf,0.4876769306442593,True,8.208061547579922,2.591650000301828,35.0
CNP/NI,0.8762649438316279,-2.817035113621875,0.16032463815009862,False,1.029793900127235,-2.8164317049833083,0.055964679544813406,False,95.9943807513219,0.4858094295794482,True,0.15671615410329787,2.1511641812801923,30.0
EIX/MPC,0.4418131907848596,-3.4936918906817747,0.03295870019924675,True,0.1349104634396306,-3.492828060390162,0.008173206419735164,True,inf,0.40695141842403143,True,41.37961666158993,5.148641032853449,30.0
TPL/AEE,0.8352142803046354,-1.1819908607856882,0.8625537416742737,False,2.9619501092752802,-1.1636474264753904,0.6890350162832136,False,inf,0.5131421238241829,False,-90.24059293074879,32.566103790102034,20.0
ETR/NI,0.8543016289076855,-2.242727828512424,0.40245150823168857,False,2.1337334009921634,-2.2426074417601374,0.19114626809655427,False,inf,0.4815315413973009,True,-6.430019759897041,4.931870649643156,20.0
AEP/NI,0.910713204010174,-2.2671747294179956,0.39004151157252465,False,3.549480894610145,-2.267196170032433,0.18276616924449696,False,367.4857949370994,0.3902516935886202,True,-9.49973217527746,6.115610248916186,20.0
EOG/DVN,0.837975806623065,-2.563971904023602,0.2516069008399325,False,1.2589927051456764,-2.5636066910118167,0.10075469494922717,False,inf,0.38880516519920344,True,34.219481856404876,10.753170879142981,20.0
NI/ATO,0.9516861771967284,-2.9632098568981204,0.11921155669540662,False,0.19536508253436777,-2.963262204445855,0.038470611113704166,True,inf,0.34962848875266506,True,4.889040997098225,1.166556861732456,20.0
NI/AEE,0.8845805890966429,-2.6361293174680536,0.22338592174422095,False,0.2012425562347507,-2.637153720711869,0.08555886777188693,False,inf,0.4455311092409025,True,8.71928875143058,1.7717890031711117,20.0
NI/CNP,0.8762649438316279,-2.927077707965414,0.1285723739952329,False,0.7456251699426226,-2.9293578128463627,0.04203904764545319,True,inf,0.47099966721653047,True,4.480462483555128,1.830453414269786,20.0
NI/AEP,0.9107132040101739,-2.913300227423956,0.1322784998102543,False,0.233667560013609,-2.9146418803396696,0.04367164738999704,True,inf,0.4014202412161651,True,5.59809303050019,1.5691215616134893,20.0
AEE/TPL,0.8352142803046353,-1.9632916770513607,0.5475987422870402,False,0.2355147346473945,-1.959913577516475,0.3044213157958163,False,inf,0.47967536361234037,True,37.908086552281844,9.183029401542228,20.0
AEE/ATO,0.951495419766606,-1.9667690161583726,0.5458027853939202,False,0.8585734722070315,-1.967489069533913,0.30100735799232775,False,inf,0.4316876682350386,True,-10.466551084395148,5.137572241171468,20.0
